
223|SAWAH LUNTO|-0.681645,100.777389|JL. A. YANI  KOMPLEK PASAR REMAJA, KEL. PASAR, KEC. LEMBAH SEGAR, KOTA SAWAHLUNTO |27411|KOTA SAWAHLUNTO|Kec. Lembahsegar|Kel. Pasar Remaja||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0754)  61588|(0745)   61566
224|KOTOBARU|-1.12745,101.71813|JL. RAYA LINTAS SUMATERA, KOTO BARU - KAB. DAMASRAYA|27681|KAB. DHARMASRAYA|#N/A|#N/A||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0754) 71200|(0754) 71400
228|SELAT PANJANG|1.01254,102.70715|JL. MERDEKA NO. 128 SELAT PANJANG |28753|KAB. MERANTI|Kec. Tebing Tinggi|||Luar Jabodetabek|RIAU|SUMATERA|(0763) 31244, 31251, 33944|(0763) 31669
229|SUNGAI PENUH|-2.062767,101.392196|JL. ACHMAD YANI NO. 16 - SUNGAI PENUH|37111|KOTA SUNGAI PENUH|#N/A|#N/A||Luar Jabodetabek|JAMBI|SUMATERA|(0748) 23146, 23246, 23346, 21180|(0748)  22088
230|KAYU ARO|-1.772353,101.290755|JL. RAYAN KERSIK TUO NO.6 KEC. KAYU ARO, KAB. KERINCI.|37163|KAB. KERINCI|Ke. Kayu Aro|||Luar Jabodetabek|JAMBI|SUMATERA|(0748)357046|
232|TEMBILAHAN|0.323917, 103.160333|JL. JEND. SUDIRMAN NO. 78 - TEMBILAHAN|29212|KAB. INDRAGIRI HILIR|Kec. Tembilahan|Kel. Tembilahan Kota||Luar Jabodetabek|RIAU|SUMATERA|(0768) 21946, 21076|(0768) 21040
233|SUNGAI GUNTUNG|0.302665,103.60238|GEDUNG PT SUMATERA TIMUR INDONESIA (SAMBU GROUP), KOMPLEK PT PULAU SAMBU|29255|KAB. INDRAGIRI HILIR|Kec. Kateman|||Luar Jabodetabek|RIAU|SUMATERA|(0779) 552954/59|(0779) 552930
234|PASAR SUNGAI GUNTUNG|0.299475,103.612783|JL. YOS SUDARSO SUNGAI GUNTUNG KEC.KATEMAN, KABI.INDRAGIRI HILIR |29255|KAB. INDRAGIRI HILIR|Kec. Kateman|||Luar Jabodetabek|RIAU|SUMATERA|(0779) 551946|(0779) 551446
235|KOTABARU|0.73945,102.93073|JL. PEMUDA, KEC. KERITANG, KAB. INDRAGIRI HILIR|29274|KAB. INDRAGIRI HILIR|Kec. Keritang|||Luar Jabodetabek|RIAU|SUMATERA||
236|TANJUNG BALAI KARIMUN|0.990384,103.433704|JL. TRIKORA NO. 20, TANJUNG BALAI KARIMUN |29661|KAB. KARIMUN|Kec. Karimun|||Luar Jabodetabek|RIAU|SUMATERA|(0777) 21163, 21063|(0777) 21045
237|TANJUNG BATU|0.660049,103.464503|JL. JEND. SUDIRMAN NO. 88-A, TANJUNG BATU, KUNDUR|29662|KAB. KARIMUN|Kec. Kundur|||Luar Jabodetabek|RIAU|SUMATERA|(0779) 431233, 431446|(0779) 431446
238|MERAL|0.994728,103.412905|JL. A YANI BARAN II, KEC. MERAL, TANJUNG BALAI KARIMUN|29661|KAB. KARIMUN|Kec. Karimun|||Luar Jabodetabek|RIAU|SUMATERA|(0777)326461|
